,make,model,variant,cc,seating_capacity,fuel_type,local_code
1710,AUDI,AUDI A4,30 TFSI PREMIUM PLUS,1395,5,Petrol,32440
1711,MERCEDES-BENZ.,SLC,43 AMG,2996,2,Petrol,35955
1712,GENERAL MOTORS,SPARK,1.0 LT OP (AIRBAG),995,5,Petrol,12567
1713,TATA MOTORS LTD,ARIA,PURE 4X2,2179,7,Diesel,22459
1714,VOLVO,S80,T4 Auto,1596,5,Petrol,22485
1715,MARUTI,ALTO,K10 VXI AMT,998,5,Petrol,35793
1716,FIAT,GRANDE PUNTO,1.4 EMOTION,1368,5,Petrol,12472
1717,FIAT,GRANDE PUNTO,1.2 ACTIVE,1172,5,Petrol,12466
1718,GENERAL MOTORS,OPTRA,1.6 LS ELITE,1598,5,Petrol,12549
1719,GENERAL MOTORS,OPTRA,1.8 LT AT,1799,5,Petrol,12555
1720,FORD,FIESTA,1.6 S,1596,5,Petrol,12517
1721,FORD,FIESTA,1.6 SXI ABS,1596,5,Petrol,12518
1722,GENERAL MOTORS,AVEO,1.6 LT ABS,1598,5,Petrol,16942
1723,MITSUBISHI,LANCER,1.5 GLXI,1468,5,Petrol,22823
1724,BMW,MINI COOPER,S,1598,5,Petrol,25403
1725,VOLVO,XC90,3.2 AWD,3192,7,Petrol,13090
1726,AUDI,AUDI RS7,SPORTBACK 4.0 TFSI QUATTRO,3993,4,Petrol,28190
1727,TATA MOTORS LTD,ARIA,PURE LX 4X2,2179,7,Diesel,25866
1728,BMW,X5,XDRIVE 35I PURE EXPERIENCE,2979,5,Petrol,35971
1729,VOLKSWAGEN,AMEO,HIGHLINE,1198,5,Petrol,31822
1730,AUDI,AUDI TT,2.0 TFSI QUATTRO.,1984,2,Petrol,26634
1731,MERCEDES-BENZ.,GLA,200 SPORT,1991,5,Petrol,28763
1732,GENERAL MOTORS,OPTRA,1.8,1799,5,Petrol,25924
1733,MERCEDES-BENZ.,B-CLASS,B 180 SPORTS,1595,5,Petrol,25333
1734,MINI,MINI COUNTRYMAN,1.6,1598,5,Petrol,24116
1735,TATA MOTORS LTD,INDIGO,LS DICOR,1396,5,Diesel,12961
1736,FIAT,URBAN CROSS,DYNAMIC MULTIJET 1.3,1248,5,Diesel,35923
1737,FIAT,URBAN CROSS,EMOTION MULTIJET 1.3,1248,5,Diesel,35924
1738,AUDI,AUDI A6,2.0 TFSI PREMIUM,1984,5,Petrol,28598
1739,FORD,FIESTA,1.6 ZXI,1596,5,Petrol,12519
1740,GENERAL MOTORS,OPTRA,1.6,1599,5,Petrol,12546
1741,MARUTI,IGNIS,DELTA DIESEL,1248,5,Diesel,35637
1742,AUDI,AUDI TT,2.0 TFSI QUATTRO,1984,4,Petrol,26454
1743,TATA MOTORS LTD,NANO GENX,XM,624,4,Petrol,29972
1744,MERCEDES-BENZ.,CL,65 AMG,5980,4,Petrol,12839
1745,AUDI,AUDI A7,SPORTBACK 3.0 TDI QUATTRO,2967,4,Diesel,22069
1746,VOLKSWAGEN,GTI,1.8 TSI,1798,5,Petrol,35803
1747,FORD,ECOSPORT,TITANIUM 1.0 ECOBOOST OPT,999,5,Petrol,26386
1748,ICML,EXTREME,LD PS AC DI BS III 9 SEATER,1994,9,Diesel,29441
1749,ICML,EXTREME,LD NON AC DI BS III 9 SEATER,1994,9,Diesel,29442
1750,GENERAL MOTORS,SAIL HATCHBACK,1.3 LS,1248,5,Diesel,30251
1751,TOYOTA KIRLOSKAR,FORTUNER,2.5 TRD SPORTIVO 4 X 2 MT,2494,7,Diesel,29390
1752,MARUTI,GYPSY,KING ST - BS IV,1298,8,Petrol,30260
1753,MARUTI,GYPSY,KING HT - BS IV,1298,8,Petrol,30259
1754,MARUTI,WAGON R,MINOR VXI AGS,998,5,Petrol,35707
1755,GENERAL MOTORS,SAIL HATCHBACK,1.2 BASE,1199,5,Petrol,30255
1756,GENERAL MOTORS,SAIL HATCHBACK,1.2 LS,1199,5,Petrol,30256
1757,AUDI,AUDI A6,35 TDI MATRIX EDITION,1968,5,Diesel,30508
1758,MARUTI,NEW SWIFT DZIRE,VDI,1248,5,Diesel,23101
1759,DC DESIGN PVT LTD,AVANTI,,2000,2,Petrol,29828
1760,MERCEDES-BENZ.,SL,560,5549,4,Petrol,24399
1761,TATA MOTORS LTD,INDIGO MANZA,EXL QUADRAJET,1248,5,Diesel,25838
1762,TATA MOTORS LTD,INDIGO MANZA,VX QUADRAJET,1248,5,Diesel,25837
1763,AUDI,AUDI Q5,30 TDI QUATTRO PREMIUM PLUS,1968,5,Diesel,30215
1764,MARUTI,ALTO,K10 LXI CNG,998,5,CNG,29262
1765,TATA MOTORS LTD,INDIGO ECS,GLS Emax CNG,1193,5,CNG,29556
1766,ICML,EXTREME,SD CRDFi BS IV 9 SEATER,1994,9,Diesel,29436
1767,GENERAL MOTORS,TAVERA,B1 10-SEATER - BS III,2499,10,Petrol,16948
1768,AUDI,AUDI A6,2.0 TDI BUSINESS EDITION,1968,5,Diesel,27650
1769,BENTLEY,BENTLEY CONTINENTAL,FLYING SPUR W12,5998,5,Petrol,29505
1770,BMW,I-SERIES,i8,1499,4,Petrol,29474
1771,FERRARI,CALIFORNIA,CONVERTIBLE,4297,2,Petrol,26362
1772,MITSUBISHI,LANCER,GLI,1468,5,Petrol,18042
1773,AUDI,AUDI A6,35 TDI,1968,5,Diesel,30233
1774,MARUTI,WAGON R,MINOR VXI,998,5,Petrol,35708
1775,TOYOTA KIRLOSKAR,FORTUNER,2.5 TRD SPORTIVO 4 X 2 AT,2494,7,Diesel,29391
1776,MARUTI,CIAZ,ZDI,1248,5,Diesel,28716
1777,TOYOTA KIRLOSKAR,ETIOS LIVA,VXD,1364,5,Diesel,29550
1778,TOYOTA KIRLOSKAR,ETIOS LIVA,JD,1364,5,Diesel,29552
1779,TATA MOTORS LTD,NANO,LX SPECIAL EDITION,624,4,Petrol,26321
1780,AUDI,AUDI R8,4.2 V8 coupe,4163,2,Petrol,27189
1781,AUDI,AUDI A3,35 TDI ATTRACTION,1968,5,Diesel,28524
1782,AUDI,AUDI A6,35 TDI PREMIUM,1968,5,Diesel,30086
1783,MARUTI,ALTO,K10 VXI AT,998,5,Petrol,29373
1784,TOYOTA KIRLOSKAR,ETIOS CROSS,1.4 VD,1364,5,Diesel,28003
1785,BMW,7-SERIES,740Li DPE SIGNATURE,2998,5,Petrol,35583
1786,ASTON MARTIN,DB9,VOLANTE 4 STR,5935,4,Petrol,27651
1787,TOYOTA KIRLOSKAR,COROLLA ALTIS,1.8 VL,1798,5,Petrol,29411
1788,MARUTI,CIAZ,ZXI+,1373,5,Petrol,29377
1789,AUDI,AUDI A8,L 50 TDI QUATTRO PREMIUM,2967,5,Diesel,30505
1790,BMW,1-SERIES,118d SPORT LINE,1995,5,Diesel,26782
1791,ASHOK LEYLAND,STILE,LE 8 STR,1461,8,Diesel,27162
1792,ICML,EXTREME,LD PS AC CRDFi BS IV 9 SEATER,1994,9,Diesel,29439
1793,ICML,EXTREME,LD PS AC CRDFi BS III 9 SEATER,1994,9,Diesel,29440
1794,TOYOTA KIRLOSKAR,FORTUNER,3.0L 4X4 AT,2982,7,Diesel,29478
1795,TOYOTA KIRLOSKAR,ETIOS LIVA,VD,1364,5,Diesel,29551
1796,MINI,MINI COOPER,1.6 D 5 Door,1598,5,Diesel,29455
1797,ASHOK LEYLAND,STILE,LX 8 STR,1461,8,Diesel,27166
1798,MARUTI,ALTO,K10 VXI (O),998,5,Petrol,30285
1799,GENERAL MOTORS,SAIL HATCHBACK,1.3 LT ABS,1248,5,Diesel,30249
1800,AUDI,AUDI A3,35 TDI PREMIUM PLUS,1968,5,Diesel,28528
1801,ROLLS-ROYCE,WRAITH,,6592,4,Petrol,30103
1802,MARUTI,SWIFT,Windsong VDI,1248,5,Diesel,29352
1803,SKODA,RAPID,LEISURE 1.6 MPI MT,1598,5,Petrol,26531
1804,MARUTI,ZEN ESTILO,GREEN LXI,998,5,CNG,26423
1805,FORD,FIGO,1.2 TITANIUM PLUS PETROL,1196,5,Petrol,30445
1806,ICML,EXTREME,VD DI BS III 7 SEATER,1994,7,Diesel,29435
1807,ICML,EXTREME,SD CRDFi BS III 9 SEATER,1994,9,Diesel,29437
1808,FIAT,500,Abarth 595 Competizione,1368,5,Petrol,30149
1809,AUDI,AUDI A4,35 TDI TECHNOLOGY PACK,1968,5,Diesel,30142
1810,ROLLS-ROYCE,GHOST,SERIES II SWB,6592,5,Petrol,29640
1811,BENTLEY,FLYING SPUR,V8,3993,5,Petrol,28624
1812,PORSCHE,CAYMAN,GTS,3436,2,Petrol,30400
1813,GENERAL MOTORS,SAIL,1.2 LT ABS,1199,5,Petrol,25890
1814,MERCEDES-BENZ.,GLC,300 4MATIC,1991,5,Petrol,32046
1815,TATA MOTORS LTD,WINGER,PLATINUM,1948,7,Diesel,26327
1816,TOYOTA KIRLOSKAR,COROLLA ALTIS,1.8 JS PETROL,1798,5,Petrol,30028
1817,FIAT,LINEA,1.4L CLASSIC PETROL,1368,5,Petrol,30155
1818,TOYOTA KIRLOSKAR,FORTUNER,3.0L 4X2 AT,2982,7,Diesel,29863
1819,BMW,M-SERIES,M3 SEDAN,2979,4,Petrol,29864
1820,ICML,EXTREME,SD DI BS III 9 SEATER,1994,9,Diesel,29438
1821,MARUTI,S-CROSS,SIGMA 1.3,1248,5,Diesel,30136
1822,BMW,1-SERIES,118d,1995,5,Diesel,26784
1823,TATA MOTORS LTD,BOLT,XMS Petrol,1193,5,Petrol,29321
1824,PREMIER.,PREMIER RIO,GX,1173,5,Petrol,28027
1825,PREMIER.,PREMIER RIO,PLUS GX,1173,5,Petrol,28024
1826,ASHOK LEYLAND,STILE,LE 7 STR,1461,7,Diesel,27167
1827,ICML,EXTREME,LD NON AC CRDFi BS IV 9 SEATER,1994,9,Diesel,29443
1828,GENERAL MOTORS,SAIL HATCHBACK,1.2 LT ABS,1199,5,Petrol,30252
1829,GENERAL MOTORS,SAIL HATCHBACK,1.3 LS ABS,1248,5,Diesel,30250
1830,ASTON MARTIN,VIRAGE,VOLANTE,5935,4,Petrol,28790
1831,ASHOK LEYLAND,STILE,LX 7 STR ALLOY,1461,7,Diesel,27168
1832,GENERAL MOTORS,SAIL HATCHBACK,1.2 LS ABS,1199,5,Petrol,30254
1833,AUDI,AUDI Q5,2.0 TDI QUATTRO TECHNOLOGY PACK,1968,5,Diesel,28736
1834,TATA MOTORS LTD,INDICA V2,1.4 LS,1405,5,Diesel,28239
1835,AUDI,AUDI A8,L 50 TDI QUATTRO PREMIUM PLUS,2967,5,Diesel,30506
1836,VOLVO,S80,3.2,3192,5,Petrol,13087
1837,ASHOK LEYLAND,STILE,LS 8 STR,1461,8,Diesel,27164
1838,MINI,COOPER COUNTRYMAN,2.0L COOPER D,1995,5,Diesel,29406
1839,MINI,COOPER COUNTRYMAN,ONE,1598,5,Diesel,27140
1840,MARUTI,SWIFT DZIRE,VXI AT,1197,5,Petrol,30209
1841,TATA MOTORS LTD,NANO GENX,XMA,624,4,Petrol,29969
1842,AUDI,AUDI A4,3.2 FSI QUTTARO,3197,5,Petrol,12413
1843,MERCEDES-BENZ.,C-CLASS,230 AVANTGARDE,2496,5,Petrol,17042
1844,MERCEDES-BENZ.,M-CLASS,ML 63 AMG,5461,5,Petrol,28033
1845,TOYOTA KIRLOSKAR,ETIOS,J,1496,5,Petrol,21023
1846,TATA MOTORS LTD,SUMO,DX 9STR,1948,9,Diesel,22013
1847,TATA MOTORS LTD,SUMO,VICTA DI EX 9STR,2956,9,Diesel,19033
1848,MERCEDES-BENZ.,CLS,63 AMG,6208,5,Petrol,12841
1849,MERCEDES-BENZ.,C-CLASS,C250 Avantgarde,2497,5,Petrol,33643
1850,MERCEDES-BENZ.,E-CLASS,E 400 CABRIOLET,2996,5,Petrol,30037
1851,MARUTI,VERSA,DX2 - BS III,1298,8,Petrol,12809
1852,VOLVO,S60,D4 2.0L,1969,5,Diesel,34782
1853,MARUTI,ERTIGA,ZDI,1248,7,Diesel,24004
1854,TATA MOTORS LTD,INDIGO,GLX,1405,5,Petrol,24519
1855,GENERAL MOTORS,OPTRA,1.8 LS,1799,5,Petrol,12552
1856,FORD,FIESTA,1.4 EXI DURASPORT,1388,5,Petrol,16970
1857,GENERAL MOTORS,OPTRA,1.8 LS AT,1799,5,Petrol,12553
1858,AUDI,AUDI RS5,COUPE,4163,4,Petrol,22068
1859,SKODA,OCTAVIA,RIDER 1.8 TURBO,1781,5,Petrol,17070
1860,GENERAL MOTORS,AVEO,1.4 LT ABS,1399,5,Petrol,16941
1861,TATA MOTORS LTD,SUMO,VICTA DI LX 9STR,2956,9,Diesel,19034
1862,TATA MOTORS LTD,SIERRA,SIERRA,1948,5,Diesel,17508
1863,MARUTI,CIAZ,VXI AT,1248,5,Petrol,31667
1864,AUDI,AUDI Q5,2.0 TFSI QUATTRO,1984,5,Petrol,16926
1865,MERCEDES-BENZ.,SLK-CLASS,SLK 200 K,1796,2,Petrol,12852
1866,MERCEDES-BENZ.,S-CLASS,S 430,4300,5,Petrol,19222
1867,MERCEDES-BENZ.,C-CLASS,180 ELEGANCE,1998,5,Petrol,17504
1868,BENTLEY,BENTLEY MULSANNE,SPEED,6752,5,Petrol,34784
1869,VOLKSWAGEN,JETTA,TRENDLINE 2.0 TDI,1968,5,Diesel,19507
1870,FERRARI,458 SPECIALE,,4497,2,Petrol,29921
1871,FIAT,AVVENTURA,ABARTH,1368,5,Petrol,32377
1872,JEEP,WRANGLER,UNLIMITED 3.6L RUBICON 4DR 4X4,3600,5,Petrol,31703
1873,MARUTI,ERTIGA,LXI,1373,7,Petrol,24002
1874,MINI,MINI COOPER S,1.6,1598,4,Petrol,29492
1875,SKODA,OCTAVIA,AMBIENTE 2.0 MPI,1984,5,Petrol,20848
1876,TOYOTA MOTORS,LAND CRUISER PRADO,TX LIMITED,2693,8,Petrol,34704
1877,MARUTI,VERSA,DX 5 SEATER - BS III,1298,5,Petrol,17031
1878,FORD,FIGO ASPIRE,TREND 1.5 TDCi,1498,5,Diesel,30165
1879,GENERAL MOTORS,SPARK,LS 1.0 BS-IV OBDII,995,5,Petrol,28136
1880,TATA MOTORS LTD,SUMO,EZI TC,1948,10,Diesel,17465
1881,TATA MOTORS LTD,SUMO,SA EGR,1948,10,Diesel,17466
1882,TATA MOTORS LTD,SUMO,VICTA EX,1948,10,Diesel,13026
1883,FORD,FIESTA,1.6 ZXI ABS,1596,5,Petrol,16977
1884,FORD,FIESTA,1.6 ZXI DURASPORT,1596,5,Petrol,16978
1885,FORD,FIESTA,1.6 ZXI DURASPORT ABS,1596,5,Petrol,16979
1886,SKODA,OCTAVIA,RIDER 2.0 MPI,1984,5,Petrol,19085
1887,MARUTI,ALTO 800,VXI (O),796,5,Petrol,32050
1888,MASERATI,GHIBLI,V6 DIESEL,2987,5,Diesel,32090
1889,BENTLEY,BENTAYGA,W12,5950,5,Petrol,32265
1890,MERCEDES-BENZ.,SLS,AMG COUPE,6208,2,Petrol,21952
1891,MERCEDES-BENZ.,E-CLASS,E 350 CGI,3498,5,Petrol,21504
1892,BMW,3-SERIES,320I SEDAN,1995,4,Petrol,12433
1893,MERCEDES-BENZ.,C-CLASS,180 CLASSIC,1998,5,Petrol,17503
1894,TATA MOTORS LTD,SUMO,DX 8STR,1948,8,Diesel,22012
1895,TATA MOTORS LTD,SUMO,DX,1948,7,Diesel,22011
1896,MERCEDES-BENZ.,S-CLASS,S 500 LAUNCH EDITION,4663,4,Petrol,27521
1897,MERCEDES-BENZ.,GL,63 AMG,5461,7,Petrol,27863
1898,MERCEDES-BENZ.,GLA,45 AMG,1991,5,Petrol,28810
1899,TATA MOTORS LTD,SUMO,VICTA DI CX,2956,10,Diesel,13024
1900,TATA MOTORS LTD,SUMO,VICTA DI LX,2956,7,Diesel,13025
1901,FORD,FIESTA,1.6 LE,1596,5,Petrol,17629
1902,BMW,3-SERIES,325I SEDAN,2497,4,Petrol,12434
1903,MERCEDES-BENZ.,E-CLASS,E350 Avantgarde,3498,5,Petrol,17637
1904,TATA MOTORS LTD,ARIA,PRIDE LEATHER 4X4,2179,7,Diesel,20707
1905,TATA MOTORS LTD,ARIA,PRESTIGE LEATHER 4X4,2179,7,Diesel,20708
1906,TATA MOTORS LTD,SUMO,VICTA DI CX 9STR,2956,9,Diesel,19035
1907,FORD,FIESTA,TITANIUM PLUS PETROL,1499,5,Petrol,22426
1908,MINI,MINI COOPER S,2.0,1998,4,Petrol,29775
1909,FORD,FIGO,1.2 DURATEC PETROL EXI,1196,5,Petrol,18928
1910,FORD,FIGO,1.2 DURATEC PETROL ZXI,1196,5,Petrol,18929
1911,FORD,FIGO,1.2 DURATEC PETROL TITANIUM,1196,5,Petrol,18930
1912,TATA MOTORS LTD,SUMO,VICTA DI EX,2956,7,Diesel,19026
1913,AUDI,A6,3.0L MULTITRONIC,2976,5,Petrol,12411
1914,AUDI,AUDI A4,35 TDI PREMIUM,1968,5,Diesel,34679
1915,TATA MOTORS LTD,INDICA,DLS,1405,5,Diesel,29205
1916,TOYOTA KIRLOSKAR,ETIOS,G SP,1496,5,Petrol,25709
1917,TATA MOTORS LTD,SUMO,GX TC 7-SEATER,1948,7,Diesel,13020
1918,TATA MOTORS LTD,SUMO,VICTA DI GX,2956,7,Diesel,19027
1919,AUDI,AUDI A8,4.2L QUATTRO,4163,5,Petrol,12419
1920,TATA MOTORS LTD,SUMO,VICTA DI GX 9STR,2956,9,Diesel,19032
1921,PORSCHE,MACAN,S DIESEL,2967,5,Diesel,31869
1922,MERCEDES-BENZ.,C-CLASS,63 AMG,6208,5,Petrol,12836
1923,FIAT,PALIO,GTX,1596,5,Petrol,19854
1924,TATA MOTORS LTD,SUMO,SPACIO A1 ST,2956,10,Diesel,17470
1925,GENERAL MOTORS,SPARK,1.0 LS,995,5,Petrol,12565
1926,TOYOTA KIRLOSKAR,ETIOS,G,1496,5,Petrol,21020
1927,GENERAL MOTORS,AVEO,1.4 LS,1399,5,Petrol,12531
1928,MERCEDES-BENZ.,170 V,,1697,5,Petrol,30736
1929,FORD,FIGO,1.2 BASE PETROL,1196,5,Petrol,30589
1930,MERCEDES-BENZ.,SLK-CLASS,SLK 230 K,2295,2,Petrol,29218
1931,VOLVO,S60,2.0 D4 Momentum,1984,5,Petrol,29797
1932,TATA MOTORS LTD,XENON,5 STR,2956,5,Diesel,29256
1933,FORD,ECOSPORT,TITANIUM PLUS 1.0 ECOBOOST,999,5,Petrol,30635
1934,MERCEDES-BENZ.,GLE,450 AMG COUPE,2996,5,Petrol,31337
1935,AUDI,AUDI A8,L 4.0 TFSI QUATTRO,3993,4,Petrol,28832
1936,TATA MOTORS LTD,INDICA,DLE,1405,5,Diesel,27184
1937,MERCEDES-BENZ.,E-CLASS,E 200 CGI AVANTGARDE,1991,5,Petrol,27333
1938,MERCEDES-BENZ.,S-CLASS,S 280,2398,5,Petrol,19208
1939,MERCEDES-BENZ.,R-CLASS,R 350 4MATIC,3498,7,Petrol,21955
1940,GENERAL MOTORS,SPARK,1.0 LT,995,5,Petrol,12566
1941,GENERAL MOTORS,SPARK,1.0,995,5,Petrol,12564
1942,GENERAL MOTORS,SPARK,1.0 PS,995,5,Petrol,12568
1943,TATA MOTORS LTD,SUMO,VICTA GX TC 8-Seater,1948,8,Diesel,19029
1944,GENERAL MOTORS,AVEO,1.4 LS LIMITED EDITION,1399,5,Petrol,12532
1945,TATA MOTORS LTD,ARIA,PRESTIGE 4X2,2179,5,Diesel,22461
1946,TATA MOTORS LTD,INDIGO,FACELIFT LX,1405,5,Diesel,21974
1947,SKODA,OCTAVIA,ELEGANCE 1.8 TSI AT,1798,5,Petrol,27087
1948,AUDI,AUDI R8,5.2 FSI QUATTRO SPYDER,5204,2,Petrol,21798
1949,MERCEDES-BENZ.,C-CLASS,200 K MT,1796,5,Petrol,17039
1950,TATA MOTORS LTD,INDIGO,FACELIFT LS,1396,5,Diesel,19714
1951,MARUTI,BALENO HATCHBACK,Delta AT 1.2,1197,5,Petrol,30709
1952,MARUTI,BALENO HATCHBACK,Sigma 1.3,1248,5,Diesel,30562
1953,AUDI,AUDI A6,3.2 FSI QUATTRO,3132,5,Petrol,12417
1954,TATA MOTORS LTD,SUMO,SPACIO GOLD,2956,10,Diesel,13022
1955,MERCEDES-BENZ.,E-CLASS,200 CGI BLUE EFFICIENCY,1796,5,Petrol,20717
1956,VOLKSWAGEN,VENTO,1.2 TSI HIGHLINE AT,1197,5,Petrol,30396
1957,MERCEDES-BENZ.,S-CLASS,S 320,3200,5,Petrol,27120
1958,AUDI,AUDI Q7,4.2 FSI QUATTRO 7 SEATER,4163,7,Petrol,27245
1959,MERCEDES-BENZ.,C-CLASS,200 CGI ADVANTGARDE,1796,5,Petrol,19653
1960,FORD,FIGO,1.2 DURATEC PETROL LXI,1196,5,Petrol,18927
1961,VOLVO,V40 CROSS COUNTRY,T4 MOMENTUM,1596,5,Petrol,30455
1962,MINI,MINI COOPER,D 3 Door,1496,5,Diesel,28885
1963,TATA MOTORS LTD,SUMO,SPACIO 11STR,2956,11,Diesel,19732
1964,GENERAL MOTORS,OPTRA,1.8 LT,1799,5,Petrol,12554
1965,TATA MOTORS LTD,SUMO,VICTA GX TC 7-Seater,1948,7,Diesel,19028
1966,AUDI,AUDI R8,5.2 V10 PLUS,5204,2,Petrol,29335
1967,GENERAL MOTORS,SPARK,1.0 BS-IV OBDII,995,5,Petrol,28135
1968,SKODA,FABIA,NEW CLASSIC 1.2 MPI,1198,5,Petrol,20927
1969,SKODA,OCTAVIA,AMBIENTE 1.8 TURBO,1781,5,Petrol,12915
1970,VOLKSWAGEN,VENTO,1.2 TSI HIGHLINE,1197,5,Petrol,29267
1971,AUDI,AUDI A6,35 TFSI TECHNOLOGY PACK,1984,5,Petrol,29359
1972,SKODA,OCTAVIA,ACTIVE 1.4 TSI,1395,5,Petrol,27084
1973,GENERAL MOTORS,SPARK,MUZIC 1.0 LS,995,5,Petrol,12569
1974,MERCEDES-BENZ.,E-CLASS,E200K Elegance,1796,5,Petrol,17641
1975,MERCEDES-BENZ.,E-CLASS,240 V6 AT,2597,5,Petrol,17638
1976,TATA MOTORS LTD,SUMO,VICTA GX 7STR,1948,7,Diesel,21761
1977,TATA MOTORS LTD,SUMO,VICTA EX 7STR,1948,7,Diesel,21763
1978,TATA MOTORS LTD,SUMO,VICTA CX 7STR,1948,7,Diesel,21760
1979,MERCEDES-BENZ.,CL,600 COUPE,5513,4,Petrol,12838
1980,GENERAL MOTORS,AVEO,1.4 LT,1399,5,Petrol,16940
1981,SKODA,FABIA,ELEGANCE 1.6 MPI,1598,5,Petrol,20905
1982,FIAT,GRANDE PUNTO,T-JET 1.4 ABARTH,1368,5,Petrol,33668
1983,MERCEDES-BENZ.,C-CLASS,200 CGI BLUE EFFICIENCY,1796,5,Petrol,27565
1984,FIAT,GRANDE PUNTO,Evo Active 1.2,1172,5,Petrol,28406
1985,FIAT,GRANDE PUNTO,Evo Dynamic 1.2,1172,5,Petrol,28407
1986,AUDI,AUDI A4,35 TFSI PREMIUM,1798,5,Petrol,30684
1987,AUDI,AUDI Q7,3.6 FSI QUATTRO,3597,5,Petrol,12422
1988,MERCEDES-BENZ.,CLS,350,3498,4,Petrol,17043
1989,TATA MOTORS LTD,TIAGO,REVOTRON XE (O),1199,5,Petrol,31407
1990,TATA MOTORS LTD,TIAGO,REVOTRON XE,1199,5,Petrol,31408
1991,MERCEDES-BENZ.,E-CLASS,E 250 ELEGANCE,2497,5,Petrol,20741
1992,TATA MOTORS LTD,SUMO,SE PLUS,1948,10,Diesel,21850
1993,TATA MOTORS LTD,SUMO,SPACIO GOLD SA 9STR,2956,9,Diesel,19634
1994,TATA MOTORS LTD,SUMO,DLX 7STR,1998,7,Diesel,19362
1995,TATA MOTORS LTD,SUMO,DLX 8STR,1998,8,Diesel,19363
1996,TATA MOTORS LTD,SUMO,DLX 10STR,1998,10,Diesel,19364
1997,TOYOTA KIRLOSKAR,LAND CRUISER PRADO,VX,3956,8,Petrol,13069
1998,FORD,ECOSPORT,TRENDLINE 1.5 Ti-VCT,1499,5,Petrol,26385
1999,MERCEDES-BENZ.,G-CLASS,G 63 AMG CRAZY COLOUR EDITION,5461,5,Petrol,33363
2000,MERCEDES-BENZ.,S-CLASS,S 500 L,5461,5,Petrol,17047
2001,MINI,COOPER S,CLUBMAN,1998,5,Petrol,35748
2002,FORD,ECOSPORT,TREND PLUS 1.0 ECOBOOST,999,5,Petrol,31162
2003,AUDI,AUDI A6,35 TFSI PREMIUM,1984,5,Petrol,31167
2004,BMW,X1,S DRIVE 18I,1995,5,Petrol,21125
2005,TATA MOTORS LTD,SUMO,VICTA LX 7STR,1948,7,Diesel,21762
2006,TOYOTA KIRLOSKAR,ETIOS,G OPT,1496,5,Petrol,21021
2007,SKODA,FABIA,ELEGANCE 1.2 MPI,1198,5,Petrol,19627
2008,TATA MOTORS LTD,INDIGO,SX - BS III,1405,5,Diesel,12965
2009,MERCEDES-BENZ.,S-CLASS,600 L,5513,5,Petrol,21686
2010,MERCEDES-BENZ.,S-CLASS,350,3498,5,Petrol,12847
2011,MERCEDES-BENZ.,SL,63 AMG,6208,4,Petrol,12851
2012,BMW,3-SERIES,320i LCI,1995,5,Petrol,26489
2013,MERCEDES-BENZ.,E-CLASS,E 200,1991,5,Petrol,26665
2014,FIAT,PALIO,1.2 ELX PS,1242,5,Petrol,21963
2015,MERCEDES-BENZ.,CL,500 COUPE,5461,4,Petrol,12837
2016,MERCEDES-BENZ.,CLK,350,6208,2,Petrol,30760
2017,VOLVO,S80,2.5T,2521,5,Petrol,30734
2018,SKODA,FABIA,NEW AMBIENTE 1.2 MPI,1198,5,Petrol,20911
2019,FORD,FIESTA,1.4 ZXI,1388,5,Petrol,16973
2020,AUDI,AUDI A6,2.8 FSI,2773,5,Petrol,12415
2021,MERCEDES-BENZ.,E-CLASS,200 K CLASSIC,1796,5,Petrol,12842
2022,MINI,MINI CONVERTIBLE,1.6,1598,5,Petrol,23111
2023,FIAT,GRANDE PUNTO,1.2 DYNAMIC,1172,5,Petrol,19893
2024,GENERAL MOTORS,SPARK,1.0 LT OP,995,5,Petrol,18885
2025,TATA MOTORS LTD,SUMO,EX TC,1948,8,Diesel,17464
2026,MERCEDES-BENZ.,G-CLASS,55 AMG,5439,5,Petrol,21954
2027,MITSUBISHI,LANCER,1.8 INVEX AT,1834,5,Petrol,20014
2028,VOLKSWAGEN,VENTO,TRENDLINE PETROL,1598,5,Petrol,20373
2029,AUDI,AUDI R8,LMX,5204,2,Petrol,29334
2030,TATA MOTORS LTD,SUMO,SPACIO GOLD 8STR,2956,8,Diesel,19704
2031,VOLKSWAGEN,POLO,1.6L HIGHLINE (P),1598,5,Petrol,20506
2032,AUDI,AUDI S8,V10 FSI QUATTRO,5204,5,Petrol,21799
2033,AUDI,AUDI A8,L 6.3 W12 QUATTRO,6299,5,Petrol,23981
2034,TOYOTA KIRLOSKAR,ETIOS,V,1496,5,Petrol,21019
2035,SKODA,OCTAVIA,BLITZ,1984,5,Petrol,20684
2036,TATA MOTORS LTD,INDIGO MANZA,AURA PLUS QUADRAJET,1248,5,Diesel,16916
2037,VOLKSWAGEN,POLO,1.2L TRENDLINE (P),1198,5,Petrol,18622
2038,TATA MOTORS LTD,SUMO,SA PLUS,1948,10,Diesel,20400
2039,AUDI,AUDI TT,COUPE 3.2 QUATTRO,3189,5,Petrol,12424
2040,SKODA,FABIA,NEW ELEGANCE 1.2 MPI,1198,5,Petrol,20931
2041,VOLKSWAGEN,POLO,1.2L HIGHLINE (P),1198,5,Petrol,18624
2042,FORD,ECOSPORT,TITANIUM 1.0 ECOBOOST,999,5,Petrol,26388
